Fat Shack"3.8"1110 13th St, Boulder, CO 80302, USA"0.5129727774149714
Canyons Restaurant & Bar"2.8"2660 Canyon Blvd, Boulder, CO 80302, USA"0.6327278191272566
River and Woods"4.6"2328 Pearl St, Boulder, CO 80302, USA"0.2894229941494769
The Sink"4.4"1165 13th St, Boulder, CO 80302, USA"0.536933787694641
BJ's Restaurant & Brewhouse"3.9"1690 28th St, Boulder, CO 80301, USA"0.7740627164302833
Arcana"4.6"909 Walnut St, Boulder, CO 80302, USA"0.9784933328177327
Riffs Urban Fare"4.5"1115 Pearl St, Boulder, CO 80302, USA"0.8215744758467465
Eureka!"4.3"1048 Pearl St, Boulder, CO 80302, USA"0.8776553277457283
Murphy's North on Iris"4.3"2731 Iris Ave, Boulder, CO 80304, USA"0.7127747858836497
Good Times Burgers & Frozen Custard"4.2"2050 26th St, Boulder, CO 80302, USA"0.5671562224528339
McDonald's"3.4"1800 28th St, Boulder, CO 80301, USA"0.7656278748770046
SALT"4.3"1047 Pearl St, Boulder, CO 80302, USA"0.8655591361249193
Next Door | Boulder"4.4"1039 Pearl St, Boulder, CO 80302, USA"0.8817576588075341
The West End Tavern"4.4"926 Pearl St, Boulder, CO 80302, USA"0.9853534296446979
Murphy's South on Broadway"4.4"657 S Broadway, Boulder, CO 80305, USA"1.4700851199415523
Wendy's"3.6"2420 Baseline Rd, Boulder, CO 80305, USA"0.5477817006905619
IHOP"3.6"1675 28th St, Boulder, CO 80301, USA"0.6953275086285037
North Side Tavern Restaurant"4.4"12708 Lowell Blvd, Broomfield, CO 80020, USA"16.395107626651146
Oak"4.6"1400 Pearl St, Boulder, CO 80302, USA"0.5603765481724867
Flagstaff House"4.7"1138 Flagstaff Rd, Boulder, CO 80302, USA"1.7752548344007768
